j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	1.0	1.0	['B-2', 'D3', 'B-3', 'F4']	['M3', 'P1', 'P5']	[True, True, True, True]	1.0	1.0	0.0	I	0.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	B-	B-	1	None	False	['B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F']	0.0	0.0	0.0	0.0
0.125	1.0	1.0	['B-2', 'D3', 'B-3', 'F4']	['M3', 'P1', 'P5']	[False, False, False, False]	1.0	1.0	0.0	I	1.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	B-	B-	1	None	False	['B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F']	0.0	0.0	0.0	0.0
0.25	1.0	1.0	['B-2', 'D3', 'B-3', 'F4']	['M3', 'P1', 'P5']	[False, False, False, False]	1.0	1.0	0.0	I	2.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	B-	B-	1	None	False	['B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F']	0.0	0.0	0.0	0.0
0.375	1.0	1.0	['B-2', 'D3', 'B-3', 'F4']	['M3', 'P1', 'P5']	[False, False, False, False]	1.0	1.0	0.0	I	2.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	B-	B-	1	None	False	['B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F']	0.0	0.0	0.0	0.0
0.5	1.0	1.0	['B-2', 'D3', 'B-3', 'F4']	['M3', 'P1', 'P5']	[False, False, False, False]	1.0	1.0	0.0	I	3.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	B-	B-	1	None	False	['B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F']	0.0	0.0	0.0	0.0
0.625	1.0	1.0	['B-2', 'D3', 'B-3', 'F4']	['M3', 'P1', 'P5']	[False, False, False, False]	1.0	1.0	0.0	I	3.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	B-	B-	1	None	False	['B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F']	0.0	0.0	0.0	0.0
0.75	1.0	1.0	['B-2', 'D3', 'B-3', 'F4']	['M3', 'P1', 'P5']	[False, False, False, False]	1.0	1.0	0.0	I	3.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	B-	B-	1	None	False	['B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F']	0.0	0.0	0.0	0.0
0.875	1.0	1.0	['B-2', 'D3', 'B-3', 'F4']	['M3', 'P1', 'P5']	[False, False, False, False]	1.0	1.0	0.0	I	3.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	B-	B-	1	None	False	['B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F', 'B-', 'D', 'B-', 'F']	0.0	0.0	0.0	0.0
1.0	1.0	1.0	['E-2', 'E-3', 'B-3', 'G4']	['P1', 'P5', 'M3']	[True, True, True, True]	1.0	1.5	1.0	IV	0.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	B-	B-	4	None	False	['E-', 'E-', 'B-', 'G', 'E-', 'E-', 'B-', 'G', 'E-', 'E-', 'B-', 'G', 'E-', 'E-', 'B-', 'G', 'E-', 'E-', 'B-', 'G', 'E-', 'E-', 'B-', 'G', 'E-', 'E-', 'B-', 'G', 'E-', 'E-', 'B-', 'G', 'E-', 'E-', 'B-', 'G', 'E-', 'E-', 'B-', 'G', 'E-', 'E-', 'B-', 'G', 'E-', 'E-', 'B-', 'G']	0.0	0.0	0.0	0.0
1.125	1.0	1.0	['E-2', 'E-3', 'B-3', 'G4']	['P1', 'P5', 'M3']	[False, False, False, False]	1.0	1.5	1.0	IV	1.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	B-	B-	4	None	False	['E-', 'E-', 'B-', 'G', 'E-', 'E-', 'B-', 'G', 'E-', 'E-', 'B-', 'G', 'E-', 'E-', 'B-', 'G', 'E-', 'E-', 'B-', 'G', 'E-', 'E-', 'B-', 'G', 'E-', 'E-', 'B-', 'G', 'E-', 'E-', 'B-', 'G', 'E-', 'E-', 'B-', 'G', 'E-', 'E-', 'B-', 'G', 'E-', 'E-', 'B-', 'G', 'E-', 'E-', 'B-', 'G']	0.0	0.0	0.0	0.0
