j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.5	0.0	['C-4']	[]	[True]	0.0	0.5	0.0	viio7	0.0	('D', 'F', 'A-', 'C-')	D	F	A-	C-	D	0.0	dim7	(2, 5, 8, 11)	e-	e-	#7	None	False	['C-', 'C-', 'C-', 'C-']	0.0	0.75	0.56	1.0
0.125	0.5	0.0	['C-4']	[]	[False]	0.0	0.5	0.0	viio7	1.0	('D', 'F', 'A-', 'C-')	D	F	A-	C-	D	0.0	dim7	(2, 5, 8, 11)	e-	e-	#7	None	False	['C-', 'C-', 'C-', 'C-']	0.0	0.75	0.56	1.0
0.25	0.5	0.0	['C-4']	[]	[False]	0.0	0.5	0.0	viio7	2.0	('D', 'F', 'A-', 'C-')	D	F	A-	C-	D	0.0	dim7	(2, 5, 8, 11)	e-	e-	#7	None	False	['C-', 'C-', 'C-', 'C-']	0.0	0.75	0.56	1.0
0.375	0.5	0.0	['C-4']	[]	[False]	0.0	0.5	0.0	viio7	2.0	('D', 'F', 'A-', 'C-')	D	F	A-	C-	D	0.0	dim7	(2, 5, 8, 11)	e-	e-	#7	None	False	['C-', 'C-', 'C-', 'C-']	0.0	0.75	0.56	1.0
0.5	0.5	1.0	['A-3']	[]	[True]	1.0	3.0	1.0	viio7	0.0	('D', 'F', 'A-', 'C-')	D	F	A-	C-	D	0.0	dim7	(2, 5, 8, 11)	e-	e-	#7	None	False	['A-', 'A-', 'A-', 'A-', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'A-', 'A-', 'A-', 'A-', 'F', 'F', 'F', 'F', 'D', 'F', 'A-', 'C-', 'D', 'F', 'A-', 'C-', 'D', 'F', 'A-', 'C-', 'D', 'F', 'A-', 'C-']	0.0	0.0	0.0	0.67
0.625	0.5	1.0	['A-3']	[]	[False]	1.0	3.0	1.0	viio7	1.0	('D', 'F', 'A-', 'C-')	D	F	A-	C-	D	0.0	dim7	(2, 5, 8, 11)	e-	e-	#7	None	False	['A-', 'A-', 'A-', 'A-', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'A-', 'A-', 'A-', 'A-', 'F', 'F', 'F', 'F', 'D', 'F', 'A-', 'C-', 'D', 'F', 'A-', 'C-', 'D', 'F', 'A-', 'C-', 'D', 'F', 'A-', 'C-']	0.0	0.0	0.0	0.67
0.75	0.5	1.0	['A-3']	[]	[False]	1.0	3.0	1.0	viio7	2.0	('D', 'F', 'A-', 'C-')	D	F	A-	C-	D	0.0	dim7	(2, 5, 8, 11)	e-	e-	#7	None	False	['A-', 'A-', 'A-', 'A-', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'A-', 'A-', 'A-', 'A-', 'F', 'F', 'F', 'F', 'D', 'F', 'A-', 'C-', 'D', 'F', 'A-', 'C-', 'D', 'F', 'A-', 'C-', 'D', 'F', 'A-', 'C-']	0.0	0.0	0.0	0.67
0.875	0.5	1.0	['A-3']	[]	[False]	1.0	3.0	1.0	viio7	2.0	('D', 'F', 'A-', 'C-')	D	F	A-	C-	D	0.0	dim7	(2, 5, 8, 11)	e-	e-	#7	None	False	['A-', 'A-', 'A-', 'A-', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'A-', 'A-', 'A-', 'A-', 'F', 'F', 'F', 'F', 'D', 'F', 'A-', 'C-', 'D', 'F', 'A-', 'C-', 'D', 'F', 'A-', 'C-', 'D', 'F', 'A-', 'C-']	0.0	0.0	0.0	0.67
1.0	0.5	1.0	['F5']	[]	[True]	1.0	3.0	1.0	viio7	3.0	('D', 'F', 'A-', 'C-')	D	F	A-	C-	D	0.0	dim7	(2, 5, 8, 11)	e-	e-	#7	None	False	['A-', 'A-', 'A-', 'A-', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'A-', 'A-', 'A-', 'A-', 'F', 'F', 'F', 'F', 'D', 'F', 'A-', 'C-', 'D', 'F', 'A-', 'C-', 'D', 'F', 'A-', 'C-', 'D', 'F', 'A-', 'C-']	0.0	0.0	0.0	0.67
1.125	0.5	1.0	['F5']	[]	[False]	1.0	3.0	1.0	viio7	3.0	('D', 'F', 'A-', 'C-')	D	F	A-	C-	D	0.0	dim7	(2, 5, 8, 11)	e-	e-	#7	None	False	['A-', 'A-', 'A-', 'A-', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'A-', 'A-', 'A-', 'A-', 'F', 'F', 'F', 'F', 'D', 'F', 'A-', 'C-', 'D', 'F', 'A-', 'C-', 'D', 'F', 'A-', 'C-', 'D', 'F', 'A-', 'C-']	0.0	0.0	0.0	0.67
1.25	0.5	1.0	['F5']	[]	[False]	1.0	3.0	1.0	viio7	3.0	('D', 'F', 'A-', 'C-')	D	F	A-	C-	D	0.0	dim7	(2, 5, 8, 11)	e-	e-	#7	None	False	['A-', 'A-', 'A-', 'A-', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'A-', 'A-', 'A-', 'A-', 'F', 'F', 'F', 'F', 'D', 'F', 'A-', 'C-', 'D', 'F', 'A-', 'C-', 'D', 'F', 'A-', 'C-', 'D', 'F', 'A-', 'C-']	0.0	0.0	0.0	0.67
1.375	0.5	1.0	['F5']	[]	[False]	1.0	3.0	1.0	viio7	3.0	('D', 'F', 'A-', 'C-')	D	F	A-	C-	D	0.0	dim7	(2, 5, 8, 11)	e-	e-	#7	None	False	['A-', 'A-', 'A-', 'A-', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'A-', 'A-', 'A-', 'A-', 'F', 'F', 'F', 'F', 'D', 'F', 'A-', 'C-', 'D', 'F', 'A-', 'C-', 'D', 'F', 'A-', 'C-', 'D', 'F', 'A-', 'C-']	0.0	0.0	0.0	0.67
1.5	0.5	1.0	['D5']	[]	[True]	1.0	3.0	1.0	viio7	4.0	('D', 'F', 'A-', 'C-')	D	F	A-	C-	D	0.0	dim7	(2, 5, 8, 11)	e-	e-	#7	None	False	['A-', 'A-', 'A-', 'A-', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'A-', 'A-', 'A-', 'A-', 'F', 'F', 'F', 'F', 'D', 'F', 'A-', 'C-', 'D', 'F', 'A-', 'C-', 'D', 'F', 'A-', 'C-', 'D', 'F', 'A-', 'C-']	0.0	0.0	0.0	0.67
1.625	0.5	1.0	['D5']	[]	[False]	1.0	3.0	1.0	viio7	4.0	('D', 'F', 'A-', 'C-')	D	F	A-	C-	D	0.0	dim7	(2, 5, 8, 11)	e-	e-	#7	None	False	['A-', 'A-', 'A-', 'A-', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'A-', 'A-', 'A-', 'A-', 'F', 'F', 'F', 'F', 'D', 'F', 'A-', 'C-', 'D', 'F', 'A-', 'C-', 'D', 'F', 'A-', 'C-', 'D', 'F', 'A-', 'C-']	0.0	0.0	0.0	0.67
1.75	0.5	1.0	['D5']	[]	[False]	1.0	3.0	1.0	viio7	4.0	('D', 'F', 'A-', 'C-')	D	F	A-	C-	D	0.0	dim7	(2, 5, 8, 11)	e-	e-	#7	None	False	['A-', 'A-', 'A-', 'A-', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'A-', 'A-', 'A-', 'A-', 'F', 'F', 'F', 'F', 'D', 'F', 'A-', 'C-', 'D', 'F', 'A-', 'C-', 'D', 'F', 'A-', 'C-', 'D', 'F', 'A-', 'C-']	0.0	0.0	0.0	0.67
1.875	0.5	1.0	['D5']	[]	[False]	1.0	3.0	1.0	viio7	4.0	('D', 'F', 'A-', 'C-')	D	F	A-	C-	D	0.0	dim7	(2, 5, 8, 11)	e-	e-	#7	None	False	['A-', 'A-', 'A-', 'A-', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'A-', 'A-', 'A-', 'A-', 'F', 'F', 'F', 'F', 'D', 'F', 'A-', 'C-', 'D', 'F', 'A-', 'C-', 'D', 'F', 'A-', 'C-', 'D', 'F', 'A-', 'C-']	0.0	0.0	0.0	0.67
