j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.3333	1.0	['C3', 'E-4']	['m3']	[True, True]	1.0	1.0	0.0	i	0.0	('C', 'E-', 'G')	C	E-	G	C	C	0.0	min	(0, 3, 7)	c	c	1	None	False	['C', 'E-', 'C', 'E-', 'C', 'E-', 'C', 'G', 'C', 'G', 'C', 'G', 'C', 'G', 'C', 'G']	0.0	0.0	0.0	0.0
0.125	0.3333	1.0	['C3', 'E-4']	['m3']	[False, False]	1.0	1.0	0.0	i	1.0	('C', 'E-', 'G')	C	E-	G	C	C	0.0	min	(0, 3, 7)	c	c	1	None	False	['C', 'E-', 'C', 'E-', 'C', 'E-', 'C', 'G', 'C', 'G', 'C', 'G', 'C', 'G', 'C', 'G']	0.0	0.0	0.0	0.0
0.25	0.3333	1.0	['C3', 'E-4']	['m3']	[False, False]	1.0	1.0	0.0	i	2.0	('C', 'E-', 'G')	C	E-	G	C	C	0.0	min	(0, 3, 7)	c	c	1	None	False	['C', 'E-', 'C', 'E-', 'C', 'E-', 'C', 'G', 'C', 'G', 'C', 'G', 'C', 'G', 'C', 'G']	0.0	0.0	0.0	0.0
0.375	0.3333	1.0	['C3', 'G4']	['P5']	[False, False]	1.0	1.0	0.0	i	2.0	('C', 'E-', 'G')	C	E-	G	C	C	0.0	min	(0, 3, 7)	c	c	1	None	False	['C', 'E-', 'C', 'E-', 'C', 'E-', 'C', 'G', 'C', 'G', 'C', 'G', 'C', 'G', 'C', 'G']	0.0	0.0	0.0	0.0
0.5	0.3333	1.0	['C3', 'G4']	['P5']	[False, False]	1.0	1.0	0.0	i	3.0	('C', 'E-', 'G')	C	E-	G	C	C	0.0	min	(0, 3, 7)	c	c	1	None	False	['C', 'E-', 'C', 'E-', 'C', 'E-', 'C', 'G', 'C', 'G', 'C', 'G', 'C', 'G', 'C', 'G']	0.0	0.0	0.0	0.0
0.625	0.3333	1.0	['C3', 'G4']	['P5']	[False, False]	1.0	1.0	0.0	i	3.0	('C', 'E-', 'G')	C	E-	G	C	C	0.0	min	(0, 3, 7)	c	c	1	None	False	['C', 'E-', 'C', 'E-', 'C', 'E-', 'C', 'G', 'C', 'G', 'C', 'G', 'C', 'G', 'C', 'G']	0.0	0.0	0.0	0.0
0.75	0.3333	1.0	['C3', 'G3']	['P5']	[False, False]	1.0	1.0	0.0	i	3.0	('C', 'E-', 'G')	C	E-	G	C	C	0.0	min	(0, 3, 7)	c	c	1	None	False	['C', 'E-', 'C', 'E-', 'C', 'E-', 'C', 'G', 'C', 'G', 'C', 'G', 'C', 'G', 'C', 'G']	0.0	0.0	0.0	0.0
0.875	0.3333	1.0	['C3', 'G3']	['P5']	[False, False]	1.0	1.0	0.0	i	3.0	('C', 'E-', 'G')	C	E-	G	C	C	0.0	min	(0, 3, 7)	c	c	1	None	False	['C', 'E-', 'C', 'E-', 'C', 'E-', 'C', 'G', 'C', 'G', 'C', 'G', 'C', 'G', 'C', 'G']	0.0	0.0	0.0	0.0
1.0	0.3333	1.0	['B2', 'E-4']	['d4']	[True, True]	1.0	1.0	1.0	III+	0.0	('B', 'E-', 'G')	B	E-	G	E-	E-	2.0	aug	(3, 7, 11)	c	c	3	None	False	['B', 'E-', 'B', 'E-', 'B', 'E-', 'B', 'G', 'B', 'G', 'B', 'G', 'B', 'G', 'B', 'G']	0.0	0.0	0.0	0.0
1.125	0.3333	1.0	['B2', 'E-4']	['d4']	[False, False]	1.0	1.0	1.0	III+	1.0	('B', 'E-', 'G')	B	E-	G	E-	E-	2.0	aug	(3, 7, 11)	c	c	3	None	False	['B', 'E-', 'B', 'E-', 'B', 'E-', 'B', 'G', 'B', 'G', 'B', 'G', 'B', 'G', 'B', 'G']	0.0	0.0	0.0	0.0
1.25	0.3333	1.0	['B2', 'E-4']	['d4']	[False, False]	1.0	1.0	1.0	III+	2.0	('B', 'E-', 'G')	B	E-	G	E-	E-	2.0	aug	(3, 7, 11)	c	c	3	None	False	['B', 'E-', 'B', 'E-', 'B', 'E-', 'B', 'G', 'B', 'G', 'B', 'G', 'B', 'G', 'B', 'G']	0.0	0.0	0.0	0.0
1.375	0.3333	1.0	['B2', 'G4']	['m6']	[False, False]	1.0	1.0	1.0	III+	2.0	('B', 'E-', 'G')	B	E-	G	E-	E-	2.0	aug	(3, 7, 11)	c	c	3	None	False	['B', 'E-', 'B', 'E-', 'B', 'E-', 'B', 'G', 'B', 'G', 'B', 'G', 'B', 'G', 'B', 'G']	0.0	0.0	0.0	0.0
1.5	0.3333	1.0	['B2', 'G4']	['m6']	[False, False]	1.0	1.0	1.0	III+	3.0	('B', 'E-', 'G')	B	E-	G	E-	E-	2.0	aug	(3, 7, 11)	c	c	3	None	False	['B', 'E-', 'B', 'E-', 'B', 'E-', 'B', 'G', 'B', 'G', 'B', 'G', 'B', 'G', 'B', 'G']	0.0	0.0	0.0	0.0
1.625	0.3333	1.0	['B2', 'G4']	['m6']	[False, False]	1.0	1.0	1.0	III+	3.0	('B', 'E-', 'G')	B	E-	G	E-	E-	2.0	aug	(3, 7, 11)	c	c	3	None	False	['B', 'E-', 'B', 'E-', 'B', 'E-', 'B', 'G', 'B', 'G', 'B', 'G', 'B', 'G', 'B', 'G']	0.0	0.0	0.0	0.0
1.75	0.3333	1.0	['B2', 'G3']	['m6']	[False, False]	1.0	1.0	1.0	III+	3.0	('B', 'E-', 'G')	B	E-	G	E-	E-	2.0	aug	(3, 7, 11)	c	c	3	None	False	['B', 'E-', 'B', 'E-', 'B', 'E-', 'B', 'G', 'B', 'G', 'B', 'G', 'B', 'G', 'B', 'G']	0.0	0.0	0.0	0.0
