j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	2.0	1.0	['A-4', 'D-5', 'F5']	['P4', 'M6']	[True, True, True]	1.0	2.0	0.0	IV	0.0	('A-', 'D-', 'F')	A-	D-	F	D-	D-	2.0	maj	(1, 5, 8)	A-	A-	4	None	False	['A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F']	0.0	0.0	0.0	0.0
0.125	2.0	1.0	['A-4', 'D-5', 'F5']	['P4', 'M6']	[False, False, False]	1.0	2.0	0.0	IV	1.0	('A-', 'D-', 'F')	A-	D-	F	D-	D-	2.0	maj	(1, 5, 8)	A-	A-	4	None	False	['A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F']	0.0	0.0	0.0	0.0
0.25	2.0	1.0	['A-4', 'D-5', 'F5']	['P4', 'M6']	[False, False, False]	1.0	2.0	0.0	IV	2.0	('A-', 'D-', 'F')	A-	D-	F	D-	D-	2.0	maj	(1, 5, 8)	A-	A-	4	None	False	['A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F']	0.0	0.0	0.0	0.0
0.375	2.0	1.0	['A-4', 'D-5', 'F5']	['P4', 'M6']	[False, False, False]	1.0	2.0	0.0	IV	2.0	('A-', 'D-', 'F')	A-	D-	F	D-	D-	2.0	maj	(1, 5, 8)	A-	A-	4	None	False	['A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F']	0.0	0.0	0.0	0.0
0.5	2.0	1.0	['A-4', 'D-5', 'F5']	['P4', 'M6']	[False, False, False]	1.0	2.0	0.0	IV	3.0	('A-', 'D-', 'F')	A-	D-	F	D-	D-	2.0	maj	(1, 5, 8)	A-	A-	4	None	False	['A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F']	0.0	0.0	0.0	0.0
0.625	2.0	1.0	['A-4', 'D-5', 'F5']	['P4', 'M6']	[False, False, False]	1.0	2.0	0.0	IV	3.0	('A-', 'D-', 'F')	A-	D-	F	D-	D-	2.0	maj	(1, 5, 8)	A-	A-	4	None	False	['A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F']	0.0	0.0	0.0	0.0
0.75	2.0	1.0	['A-4', 'D-5', 'F5']	['P4', 'M6']	[False, False, False]	1.0	2.0	0.0	IV	3.0	('A-', 'D-', 'F')	A-	D-	F	D-	D-	2.0	maj	(1, 5, 8)	A-	A-	4	None	False	['A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F']	0.0	0.0	0.0	0.0
0.875	2.0	1.0	['A-4', 'D-5', 'F5']	['P4', 'M6']	[False, False, False]	1.0	2.0	0.0	IV	3.0	('A-', 'D-', 'F')	A-	D-	F	D-	D-	2.0	maj	(1, 5, 8)	A-	A-	4	None	False	['A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F']	0.0	0.0	0.0	0.0
1.0	2.0	1.0	['A-4', 'D-5', 'F5']	['P4', 'M6']	[False, False, False]	1.0	2.0	0.0	IV	4.0	('A-', 'D-', 'F')	A-	D-	F	D-	D-	2.0	maj	(1, 5, 8)	A-	A-	4	None	False	['A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F']	0.0	0.0	0.0	0.0
1.125	2.0	1.0	['A-4', 'D-5', 'F5']	['P4', 'M6']	[False, False, False]	1.0	2.0	0.0	IV	4.0	('A-', 'D-', 'F')	A-	D-	F	D-	D-	2.0	maj	(1, 5, 8)	A-	A-	4	None	False	['A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F', 'A-', 'D-', 'F']	0.0	0.0	0.0	0.0
