j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.5	1.0	['E-2', 'G-3', 'B-3', 'E-4']	['m3', 'P5', 'P1']	[True, True, True, True]	1.0	2.0	0.0	i	0.0	('E-', 'G-', 'B-')	E-	G-	B-	E-	E-	0.0	min	(3, 6, 10)	e-	e-	1	None	False	['E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-']	0.0	0.0	0.0	0.0
0.125	0.5	1.0	['E-2', 'G-3', 'B-3', 'E-4']	['m3', 'P5', 'P1']	[False, False, False, False]	1.0	2.0	0.0	i	1.0	('E-', 'G-', 'B-')	E-	G-	B-	E-	E-	0.0	min	(3, 6, 10)	e-	e-	1	None	False	['E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-']	0.0	0.0	0.0	0.0
0.25	0.5	1.0	['E-2', 'G-3', 'B-3', 'E-4']	['m3', 'P5', 'P1']	[False, False, False, False]	1.0	2.0	0.0	i	2.0	('E-', 'G-', 'B-')	E-	G-	B-	E-	E-	0.0	min	(3, 6, 10)	e-	e-	1	None	False	['E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-']	0.0	0.0	0.0	0.0
0.375	0.5	1.0	['E-2', 'G-3', 'B-3', 'E-4']	['m3', 'P5', 'P1']	[False, False, False, False]	1.0	2.0	0.0	i	2.0	('E-', 'G-', 'B-')	E-	G-	B-	E-	E-	0.0	min	(3, 6, 10)	e-	e-	1	None	False	['E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-']	0.0	0.0	0.0	0.0
0.5	0.5	1.0	['E-2', 'G-3', 'B-3', 'E-4']	['m3', 'P5', 'P1']	[True, True, True, False]	1.0	2.0	0.0	i	3.0	('E-', 'G-', 'B-')	E-	G-	B-	E-	E-	0.0	min	(3, 6, 10)	e-	e-	1	None	False	['E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-']	0.0	0.0	0.0	0.0
0.625	0.5	1.0	['E-2', 'G-3', 'B-3', 'E-4']	['m3', 'P5', 'P1']	[False, False, False, False]	1.0	2.0	0.0	i	3.0	('E-', 'G-', 'B-')	E-	G-	B-	E-	E-	0.0	min	(3, 6, 10)	e-	e-	1	None	False	['E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-']	0.0	0.0	0.0	0.0
0.75	0.5	1.0	['E-2', 'G-3', 'B-3', 'E-4']	['m3', 'P5', 'P1']	[False, False, False, False]	1.0	2.0	0.0	i	3.0	('E-', 'G-', 'B-')	E-	G-	B-	E-	E-	0.0	min	(3, 6, 10)	e-	e-	1	None	False	['E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-']	0.0	0.0	0.0	0.0
0.875	0.5	1.0	['E-2', 'G-3', 'B-3', 'E-4']	['m3', 'P5', 'P1']	[False, False, False, False]	1.0	2.0	0.0	i	3.0	('E-', 'G-', 'B-')	E-	G-	B-	E-	E-	0.0	min	(3, 6, 10)	e-	e-	1	None	False	['E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-']	0.0	0.0	0.0	0.0
1.0	0.5	1.0	['E-2', 'G-3', 'B-3', 'E-4']	['m3', 'P5', 'P1']	[True, True, True, True]	1.0	2.0	0.0	i	4.0	('E-', 'G-', 'B-')	E-	G-	B-	E-	E-	0.0	min	(3, 6, 10)	e-	e-	1	None	False	['E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-']	0.0	0.0	0.0	0.0
1.125	0.5	1.0	['E-2', 'G-3', 'B-3', 'E-4']	['m3', 'P5', 'P1']	[False, False, False, False]	1.0	2.0	0.0	i	4.0	('E-', 'G-', 'B-')	E-	G-	B-	E-	E-	0.0	min	(3, 6, 10)	e-	e-	1	None	False	['E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-']	0.0	0.0	0.0	0.0
1.25	0.5	1.0	['E-2', 'G-3', 'B-3', 'E-4']	['m3', 'P5', 'P1']	[False, False, False, False]	1.0	2.0	0.0	i	4.0	('E-', 'G-', 'B-')	E-	G-	B-	E-	E-	0.0	min	(3, 6, 10)	e-	e-	1	None	False	['E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-']	0.0	0.0	0.0	0.0
1.375	0.5	1.0	['E-2', 'G-3', 'B-3', 'E-4']	['m3', 'P5', 'P1']	[False, False, False, False]	1.0	2.0	0.0	i	4.0	('E-', 'G-', 'B-')	E-	G-	B-	E-	E-	0.0	min	(3, 6, 10)	e-	e-	1	None	False	['E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-']	0.0	0.0	0.0	0.0
1.5	0.5	1.0	['E-2', 'G-3', 'B-3', 'E-4']	['m3', 'P5', 'P1']	[True, True, True, True]	1.0	2.0	0.0	i	4.0	('E-', 'G-', 'B-')	E-	G-	B-	E-	E-	0.0	min	(3, 6, 10)	e-	e-	1	None	False	['E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-']	0.0	0.0	0.0	0.0
1.625	0.5	1.0	['E-2', 'G-3', 'B-3', 'E-4']	['m3', 'P5', 'P1']	[False, False, False, False]	1.0	2.0	0.0	i	4.0	('E-', 'G-', 'B-')	E-	G-	B-	E-	E-	0.0	min	(3, 6, 10)	e-	e-	1	None	False	['E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-']	0.0	0.0	0.0	0.0
1.75	0.5	1.0	['E-2', 'G-3', 'B-3', 'E-4']	['m3', 'P5', 'P1']	[False, False, False, False]	1.0	2.0	0.0	i	4.0	('E-', 'G-', 'B-')	E-	G-	B-	E-	E-	0.0	min	(3, 6, 10)	e-	e-	1	None	False	['E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-']	0.0	0.0	0.0	0.0
1.875	0.5	1.0	['E-2', 'G-3', 'B-3', 'E-4']	['m3', 'P5', 'P1']	[False, False, False, False]	1.0	2.0	0.0	i	4.0	('E-', 'G-', 'B-')	E-	G-	B-	E-	E-	0.0	min	(3, 6, 10)	e-	e-	1	None	False	['E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-', 'E-', 'G-', 'B-', 'E-']	0.0	0.0	0.0	0.0
2.0	0.5	2.0	['B-2', 'B-3', 'D4', 'F4']	['P1', 'M3', 'P5']	[True, True, True, True]	2.0	2.0	1.0	V	0.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	e-	e-	5	None	False	['B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F']	0.0	0.0	0.0	0.0
2.125	0.5	2.0	['B-2', 'B-3', 'D4', 'F4']	['P1', 'M3', 'P5']	[False, False, False, False]	2.0	2.0	1.0	V	1.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	e-	e-	5	None	False	['B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F']	0.0	0.0	0.0	0.0
2.25	0.5	2.0	['B-2', 'B-3', 'D4', 'F4']	['P1', 'M3', 'P5']	[False, False, False, False]	2.0	2.0	1.0	V	2.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	e-	e-	5	None	False	['B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F']	0.0	0.0	0.0	0.0
2.375	0.5	2.0	['B-2', 'B-3', 'D4', 'F4']	['P1', 'M3', 'P5']	[False, False, False, False]	2.0	2.0	1.0	V	2.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	e-	e-	5	None	False	['B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F']	0.0	0.0	0.0	0.0
2.5	0.5	2.0	['B-2', 'B-3', 'D4', 'F4']	['P1', 'M3', 'P5']	[True, True, True, False]	2.0	2.0	1.0	V	3.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	e-	e-	5	None	False	['B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F']	0.0	0.0	0.0	0.0
2.625	0.5	2.0	['B-2', 'B-3', 'D4', 'F4']	['P1', 'M3', 'P5']	[False, False, False, False]	2.0	2.0	1.0	V	3.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	e-	e-	5	None	False	['B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F']	0.0	0.0	0.0	0.0
2.75	0.5	2.0	['B-2', 'B-3', 'D4', 'F4']	['P1', 'M3', 'P5']	[False, False, False, False]	2.0	2.0	1.0	V	3.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	e-	e-	5	None	False	['B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F']	0.0	0.0	0.0	0.0
2.875	0.5	2.0	['B-2', 'B-3', 'D4', 'F4']	['P1', 'M3', 'P5']	[False, False, False, False]	2.0	2.0	1.0	V	3.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	e-	e-	5	None	False	['B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F']	0.0	0.0	0.0	0.0
3.0	0.5	2.0	['B-2', 'B-3', 'D4', 'F4']	['P1', 'M3', 'P5']	[True, True, True, True]	2.0	2.0	1.0	V	4.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	e-	e-	5	None	False	['B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F']	0.0	0.0	0.0	0.0
3.125	0.5	2.0	['B-2', 'B-3', 'D4', 'F4']	['P1', 'M3', 'P5']	[False, False, False, False]	2.0	2.0	1.0	V	4.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	e-	e-	5	None	False	['B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F']	0.0	0.0	0.0	0.0
3.25	0.5	2.0	['B-2', 'B-3', 'D4', 'F4']	['P1', 'M3', 'P5']	[False, False, False, False]	2.0	2.0	1.0	V	4.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	e-	e-	5	None	False	['B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F']	0.0	0.0	0.0	0.0
3.375	0.5	2.0	['B-2', 'B-3', 'D4', 'F4']	['P1', 'M3', 'P5']	[False, False, False, False]	2.0	2.0	1.0	V	4.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	e-	e-	5	None	False	['B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F', 'B-', 'B-', 'D', 'F']	0.0	0.0	0.0	0.0
