j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.5	0.0	['E-4']	[]	[True]	0.0	0.5	0.0	V7	0.0	('E-', 'G', 'B-', 'D-')	E-	G	B-	D-	E-	0.0	7	(1, 3, 7, 10)	A-	A-	5	None	False	['E-', 'E-', 'E-', 'E-']	0.0	0.75	0.56	0.0
0.125	0.5	0.0	['E-4']	[]	[False]	0.0	0.5	0.0	V7	1.0	('E-', 'G', 'B-', 'D-')	E-	G	B-	D-	E-	0.0	7	(1, 3, 7, 10)	A-	A-	5	None	False	['E-', 'E-', 'E-', 'E-']	0.0	0.75	0.56	0.0
0.25	0.5	0.0	['E-4']	[]	[False]	0.0	0.5	0.0	V7	2.0	('E-', 'G', 'B-', 'D-')	E-	G	B-	D-	E-	0.0	7	(1, 3, 7, 10)	A-	A-	5	None	False	['E-', 'E-', 'E-', 'E-']	0.0	0.75	0.56	0.0
0.375	0.5	0.0	['E-4']	[]	[False]	0.0	0.5	0.0	V7	2.0	('E-', 'G', 'B-', 'D-')	E-	G	B-	D-	E-	0.0	7	(1, 3, 7, 10)	A-	A-	5	None	False	['E-', 'E-', 'E-', 'E-']	0.0	0.75	0.56	0.0
0.5	0.5	1.0	['A-2', 'A-3', 'C4', 'C5']	['P1', 'M3', 'M3']	[True, True, True, True]	1.0	1.5	1.0	I	0.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'A-', 'C', 'C', 'A-', 'A-', 'C', 'C', 'A-', 'A-', 'C', 'C', 'A-', 'A-', 'C', 'C', 'A-', 'A-', 'E-', 'C', 'D-', 'A-', 'A-', 'E-', 'C', 'D-', 'A-', 'A-', 'E-', 'C', 'D-', 'A-', 'A-', 'E-', 'C', 'D-', 'A-', 'A-', 'A-', 'C', 'A-', 'A-', 'A-', 'C', 'A-', 'A-', 'A-', 'C', 'A-', 'A-', 'A-', 'C']	0.08	0.0	0.01	0.0
0.625	0.5	1.0	['A-2', 'A-3', 'C4', 'C5']	['P1', 'M3', 'M3']	[False, False, False, False]	1.0	1.5	1.0	I	1.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'A-', 'C', 'C', 'A-', 'A-', 'C', 'C', 'A-', 'A-', 'C', 'C', 'A-', 'A-', 'C', 'C', 'A-', 'A-', 'E-', 'C', 'D-', 'A-', 'A-', 'E-', 'C', 'D-', 'A-', 'A-', 'E-', 'C', 'D-', 'A-', 'A-', 'E-', 'C', 'D-', 'A-', 'A-', 'A-', 'C', 'A-', 'A-', 'A-', 'C', 'A-', 'A-', 'A-', 'C', 'A-', 'A-', 'A-', 'C']	0.08	0.0	0.01	0.0
0.75	0.5	1.0	['A-2', 'A-3', 'C4', 'C5']	['P1', 'M3', 'M3']	[False, False, False, False]	1.0	1.5	1.0	I	2.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'A-', 'C', 'C', 'A-', 'A-', 'C', 'C', 'A-', 'A-', 'C', 'C', 'A-', 'A-', 'C', 'C', 'A-', 'A-', 'E-', 'C', 'D-', 'A-', 'A-', 'E-', 'C', 'D-', 'A-', 'A-', 'E-', 'C', 'D-', 'A-', 'A-', 'E-', 'C', 'D-', 'A-', 'A-', 'A-', 'C', 'A-', 'A-', 'A-', 'C', 'A-', 'A-', 'A-', 'C', 'A-', 'A-', 'A-', 'C']	0.08	0.0	0.01	0.0
0.875	0.5	1.0	['A-2', 'A-3', 'C4', 'C5']	['P1', 'M3', 'M3']	[False, False, False, False]	1.0	1.5	1.0	I	2.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'A-', 'C', 'C', 'A-', 'A-', 'C', 'C', 'A-', 'A-', 'C', 'C', 'A-', 'A-', 'C', 'C', 'A-', 'A-', 'E-', 'C', 'D-', 'A-', 'A-', 'E-', 'C', 'D-', 'A-', 'A-', 'E-', 'C', 'D-', 'A-', 'A-', 'E-', 'C', 'D-', 'A-', 'A-', 'A-', 'C', 'A-', 'A-', 'A-', 'C', 'A-', 'A-', 'A-', 'C', 'A-', 'A-', 'A-', 'C']	0.08	0.0	0.01	0.0
1.0	0.5	1.0	['A-2', 'A-3', 'E-4', 'C5', 'D-5']	['P1', 'P5', 'M3', 'P4']	[False, False, True, False, True]	1.0	1.5	1.0	I	3.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'A-', 'C', 'C', 'A-', 'A-', 'C', 'C', 'A-', 'A-', 'C', 'C', 'A-', 'A-', 'C', 'C', 'A-', 'A-', 'E-', 'C', 'D-', 'A-', 'A-', 'E-', 'C', 'D-', 'A-', 'A-', 'E-', 'C', 'D-', 'A-', 'A-', 'E-', 'C', 'D-', 'A-', 'A-', 'A-', 'C', 'A-', 'A-', 'A-', 'C', 'A-', 'A-', 'A-', 'C', 'A-', 'A-', 'A-', 'C']	0.08	0.0	0.01	0.0
1.125	0.5	1.0	['A-2', 'A-3', 'E-4', 'C5', 'D-5']	['P1', 'P5', 'M3', 'P4']	[False, False, False, False, False]	1.0	1.5	1.0	I	3.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'A-', 'C', 'C', 'A-', 'A-', 'C', 'C', 'A-', 'A-', 'C', 'C', 'A-', 'A-', 'C', 'C', 'A-', 'A-', 'E-', 'C', 'D-', 'A-', 'A-', 'E-', 'C', 'D-', 'A-', 'A-', 'E-', 'C', 'D-', 'A-', 'A-', 'E-', 'C', 'D-', 'A-', 'A-', 'A-', 'C', 'A-', 'A-', 'A-', 'C', 'A-', 'A-', 'A-', 'C', 'A-', 'A-', 'A-', 'C']	0.08	0.0	0.01	0.0
